id,name,source_ids,source_match,original_category,current_category,geometry_preserved,id_preserved,status
osm-node-5080600148,ヤマザキショップ大内菅内店,node/5080600148,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5148212434,セブン-イレブン,node/5148212434,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5148212453,セブン-イレブン,node/5148212453,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5167389300,セブン-イレブン,node/5167389300,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5167418013,丸久 由宇店,node/5167418013,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5174658780,町田医院,node/5174658780,saved_osm_element,clinic,clinic,True,True,no_rule_flag
osm-node-5254873841,ローソン,node/5254873841,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5255123595,ヤマザキショップ,node/5255123595,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5257015428,セブンイレブン,node/5257015428,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5257020071,ウエスタまるき,node/5257020071,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5257020072,ドラッグストア モリ,node/5257020072,saved_osm_element,drugstore,drugstore,True,True,no_rule_flag
osm-node-5259062035,ローソン,node/5259062035,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5289646328,セブンイレブン,node/5289646328,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5297381961,セブンイレブン,node/5297381961,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5330289515,ローソン,node/5330289515,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5336218226,ユアーズ・バリュ,node/5336218226,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5336229369,サンマート,node/5336229369,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5336400779,セブンイレブン,node/5336400779,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5336410896,セブンイレブン,node/5336410896,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5336882589,セブンイレブン,node/5336882589,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5344701143,フジ,node/5344701143,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5365857720,ファミリーマート,node/5365857720,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5365877024,セブンイレブン,node/5365877024,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5366029880,サンマート,node/5366029880,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5372465724,セブンイレブン,node/5372465724,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5407410562,セブンイレブン,node/5407410562,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5411899937,ファミリーマート,node/5411899937,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5412395602,ファミリーマート,node/5412395602,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-5412600025,クスリ岩崎チェーン,node/5412600025,saved_osm_element,drugstore,drugstore,True,True,no_rule_flag
osm-node-5414588708,クスリ岩崎チェーン,node/5414588708,saved_osm_element,drugstore,drugstore,True,True,no_rule_flag
osm-node-5416052827,遠藤中央薬局,node/5416052827,saved_osm_element,pharmacy,pharmacy,True,True,no_rule_flag
osm-node-5419672879,ヤマザキショップ,node/5419672879,saved_osm_element,convenience,convenience,True,True,no_rule_flag
