文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A133210001878,A1(幼稚園),33(岡山),2(公),9(廃),岡山市立芳明幼稚園,岡山県岡山市南区万倍９８,7000955,2020-12-22,2026-05-01,337502,A233310000830
A133210001887,A1(幼稚園),33(岡山),2(公),9(廃),岡山市立陵南幼稚園,岡山県岡山市北区東花尻２６６－１,7010135,2020-12-22,2021-05-27,337503,A233210000565
A133210001896,A1(幼稚園),33(岡山),2(公),9(廃),岡山市立桃丘幼稚園,岡山県岡山市北区芳賀５１１２－２,7011221,2020-12-22,2026-05-01,337504,A233310000821
A133210001903,A1(幼稚園),33(岡山),2(公),1(本),倉敷市立茶屋町東幼稚園,岡山県倉敷市茶屋町早沖４４２,7101102,2020-12-22,,337601,
A133210001912,A1(幼稚園),33(岡山),2(公),1(本),倉敷市立茶屋町西幼稚園,岡山県倉敷市茶屋町２９１－５,7101101,2020-12-22,,337602,
A133210001921,A1(幼稚園),33(岡山),2(公),1(本),津山市立つやま東幼稚園,岡山県津山市高野本郷１２７０－１,7081125,2020-12-22,,337604,
A133210001930,A1(幼稚園),33(岡山),2(公),1(本),津山市立つやま西幼稚園,岡山県津山市二宮１９８２－２,7080013,2020-12-22,,337605,
A133210001949,A1(幼稚園),33(岡山),2(公),1(本),総社市立昭和五つ星学園幼稚園,岡山県総社市美袋２４５－１,7191311,2024-05-01,,,
A133310000010,A1(幼稚園),33(岡山),3(私),1(本),岡山聖園マリア幼稚園,岡山県岡山市北区天神町６－３４,7000814,2020-12-22,,336547,
A133310000029,A1(幼稚園),33(岡山),3(私),1(本),学校法人みその学園岡山聖園幼稚園,岡山県岡山市北区清輝橋３－８－２６,7000861,2020-12-22,,336548,
A133310000038,A1(幼稚園),33(岡山),3(私),1(本),内山下幼稚園,岡山県岡山市北区丸の内２－６－５,7000823,2020-12-22,,336549,
A133310000047,A1(幼稚園),33(岡山),3(私),1(本),あけぼの幼稚園,岡山県岡山市南区築港栄町２３－３２,7028053,2020-12-22,,336550,
A133310000056,A1(幼稚園),33(岡山),3(私),1(本),つしま幼稚園,岡山県岡山市北区津島南１－３－９,7000085,2020-12-22,,336553,
A133310000065,A1(幼稚園),33(岡山),3(私),1(本),ノートルダム清心女子大学附属幼稚園,岡山県岡山市北区伊福町２－１６－９,7008516,2020-12-22,,336554,
A133310000074,A1(幼稚園),33(岡山),3(私),1(本),第一ひかりこども園,岡山県岡山市南区築港新町２－１７－１０,7028056,2020-12-22,,336555,
A133310000083,A1(幼稚園),33(岡山),3(私),1(本),山陽学園短期大学附属幼稚園,岡山県岡山市中区平井１－１３－６９,7038501,2020-12-22,,336558,
A133310000092,A1(幼稚園),33(岡山),3(私),1(本),第二ひかりこども園,岡山県岡山市南区浦安本町３３,7028026,2020-12-22,,336560,
A133310000109,A1(幼稚園),33(岡山),3(私),1(本),中仙道幼稚園,岡山県岡山市北区中仙道２丁目１０－１７,7000964,2020-12-22,,336561,
A133310000118,A1(幼稚園),33(岡山),3(私),1(本),朝日塾こども園,岡山県岡山市南区万倍３０－２０,7000955,2020-12-22,,336562,
A133310000127,A1(幼稚園),33(岡山),3(私),1(本),学校法人のぞみ学園　しいのみ幼稚園,岡山県岡山市東区上道北方５９０,7090625,2020-12-22,,336564,
A133310000136,A1(幼稚園),33(岡山),3(私),1(本),認定こども園竹中幼稚園,岡山県倉敷市鶴形１－５－１５,7100056,2020-12-22,,336618,
A133310000145,A1(幼稚園),33(岡山),3(私),1(本),御国幼稚園,岡山県倉敷市阿知３－２０－７,7100055,2020-12-22,,336619,
A133310000154,A1(幼稚園),33(岡山),3(私),1(本),同心幼稚園,岡山県倉敷市北浜町５－７,7100812,2020-12-22,,336620,
A133310000163,A1(幼稚園),33(岡山),3(私),1(本),慈愛幼稚園,岡山県倉敷市水島南幸町１－９,7128063,2020-12-22,,336621,
A133310000172,A1(幼稚園),33(岡山),3(私),1(本),みのり幼稚園,岡山県倉敷市酒津１７１１－１,7100801,2020-12-22,,336622,
A133310000181,A1(幼稚園),33(岡山),3(私),1(本),しらゆり幼稚園,岡山県倉敷市中庄団地５－４,7100015,2020-12-22,,336623,
A133310000190,A1(幼稚園),33(岡山),3(私),1(本),まこと幼稚園,岡山県倉敷市鶴の浦１－４－１１,7128007,2020-12-22,,336624,
A133310000207,A1(幼稚園),33(岡山),3(私),1(本),勇崎幼稚園,岡山県倉敷市玉島勇崎９８４,7138125,2020-12-22,,336627,
A133310000216,A1(幼稚園),33(岡山),3(私),1(本),認定こども園海星幼稚園,岡山県倉敷市玉島中央町１－４－２０,7138122,2020-12-22,,336628,
A133310000225,A1(幼稚園),33(岡山),3(私),1(本),敬愛幼稚園,岡山県倉敷市玉島黒崎４５９１,7138126,2020-12-22,,336629,
A133310000234,A1(幼稚園),33(岡山),3(私),1(本),認定こども園第二まこと幼稚園,岡山県倉敷市鶴の浦２丁目３－１０,7128007,2020-12-22,,336630,
A133310000243,A1(幼稚園),33(岡山),3(私),1(本),倉敷マリア・インマクラダ幼稚園,岡山県倉敷市北畝２－１７－３７,7128032,2020-12-22,,336631,
A133310000252,A1(幼稚園),33(岡山),3(私),1(本),第二敬愛幼稚園,岡山県倉敷市玉島柏台２－７－１６,7138124,2020-12-22,,336633,
A133310000261,A1(幼稚園),33(岡山),3(私),1(本),倉敷さほ幼稚園,岡山県倉敷市徳芳８６９－１１６,7100011,2020-12-22,,336634,
A133310000270,A1(幼稚園),33(岡山),3(私),1(本),認定こども園あさひ幼稚園,岡山県倉敷市東塚７－１３－１３,7128044,2020-12-22,,336638,
A133310000289,A1(幼稚園),33(岡山),3(私),1(本),明星幼稚園,岡山県津山市平福８７５の１,7080872,2020-12-22,,336655,
A133310000298,A1(幼稚園),33(岡山),3(私),1(本),美作大学附属幼稚園,岡山県津山市北園町７５,7080003,2020-12-22,,336656,
A133310000305,A1(幼稚園),33(岡山),3(私),1(本),就実大学・就実短期大学附属幼稚園,岡山県岡山市中区西川原１５－１,7038258,2020-12-22,,337506,
A233210000011,A2(こども),33(岡山),2(公),1(本),新見市立新見中央認定こども園,岡山県新見市新見１８７４,7180011,2020-12-22,,33A021,
A233210000020,A2(こども),33(岡山),2(公),1(本),新見市立上市認定こども園,岡山県新見市上市４３３,7180005,2020-12-22,,33A022,
A233210000039,A2(こども),33(岡山),2(公),1(本),新見市立熊谷認定こども園,岡山県新見市上熊谷３７６１－２,7180001,2020-12-22,,33A023,
A233210000048,A2(こども),33(岡山),2(公),1(本),備前市立片上認定こども園,岡山県備前市西片上３３５,7050021,2020-12-22,,33A024,
A233210000057,A2(こども),33(岡山),2(公),1(本),備前市立伊里認定こども園,岡山県備前市友延１－２,7050034,2020-12-22,,33A025,
A233210000066,A2(こども),33(岡山),2(公),1(本),備前市立三石認定こども園,岡山県備前市三石５４－１,7050132,2020-12-22,,33A026,
A233210000075,A2(こども),33(岡山),2(公),1(本),新見市立大佐認定こども園,岡山県新見市大佐小阪部１５０９－１,7193503,2020-12-22,,33A027,
A233210000084,A2(こども),33(岡山),2(公),1(本),新見市立神代認定こども園,岡山県新見市神郷下神代３９５２,7193611,2020-12-22,,33A028,
A233210000093,A2(こども),33(岡山),2(公),1(本),新見市立哲西認定こども園,岡山県新見市哲西町矢田３６０４,7193701,2020-12-22,,33A029,
A233210000100,A2(こども),33(岡山),2(公),1(本),真庭市立河内こども園,岡山県真庭市中河内２１２５－１,7193124,2020-12-22,,33A030,
A233210000119,A2(こども),33(岡山),2(公),1(本),真庭市立美川こども園,岡山県真庭市栗原７８０－２,7193153,2020-12-22,,33A031,
A233210000128,A2(こども),33(岡山),2(公),1(本),真庭市立落合こども園,岡山県真庭市落合垂水９３８－１,7193144,2020-12-22,,33A032,
A233210000137,A2(こども),33(岡山),2(公),1(本),岡山市中山認定こども園,岡山県岡山市北区一宮６３８－３,7011211,2020-12-22,,33A033,
A233210000146,A2(こども),33(岡山),2(公),1(本),岡山市御津金川認定こども園,岡山県岡山市北区御津金川４７６,7092133,2020-12-22,,33A034,
A233210000155,A2(こども),33(岡山),2(公),1(本),岡山市太伯認定こども園,岡山県岡山市東区神崎町２２－１,7048138,2020-12-22,,33A035,
A233210000164,A2(こども),33(岡山),2(公),1(本),岡山市灘崎認定こども園,岡山県岡山市南区片岡１８８,7091215,2020-12-22,,33A036,
A233210000173,A2(こども),33(岡山),2(公),1(本),倉敷市立中洲認定こども園,岡山県倉敷市水江１５９４－１,7100802,2020-12-22,,33A037,
A233210000182,A2(こども),33(岡山),2(公),1(本),総社市立きよね認定こども園,岡山県総社市清音軽部７６２,7191172,2020-12-22,,33A039,
A233210000191,A2(こども),33(岡山),2(公),1(本),高梁市立有漢こども園,岡山県高梁市有漢町有漢３３２８－３,7161321,2020-12-22,,33A040,
A233210000208,A2(こども),33(岡山),2(公),1(本),高梁市立川上こども園,岡山県高梁市川上町地頭１３６５,7160201,2020-12-22,,33A041,
A233210000217,A2(こども),33(岡山),2(公),1(本),岡山市岡南認定こども園,岡山県岡山市北区七日市西町１－１４,7000851,2020-12-22,,33A043,
A233210000226,A2(こども),33(岡山),2(公),1(本),倉敷市立柳田認定こども園,岡山県倉敷市児島小川９－３－１,7110911,2020-12-22,,33A044,
A233210000235,A2(こども),33(岡山),2(公),1(本),倉敷市立穂井田認定こども園,岡山県倉敷市玉島陶１８５２－１,7138112,2020-12-22,,33A045,
A233210000244,A2(こども),33(岡山),2(公),1(本),倉敷市立乙島東認定こども園,岡山県倉敷市玉島乙島７４１６－６,7138103,2020-12-22,,33A046,
A233210000253,A2(こども),33(岡山),2(公),1(本),津山市立勝北風の子こども園,岡山県津山市新野東６００－１,7081205,2020-12-22,,33A048,
A233210000262,A2(こども),33(岡山),2(公),1(本),真庭市立天の川こども園,岡山県真庭市野川７９７,7193106,2020-12-22,,33A049,
A233210000271,A2(こども),33(岡山),2(公),1(本),浅口市立寄島こども園,岡山県浅口市寄島町１６０８９－４,7140101,2020-12-22,,33A050,
A233210000280,A2(こども),33(岡山),2(公),1(本),岡山市建部認定こども園,岡山県岡山市北区建部町市場３３０,7093131,2020-12-22,,33A057,
A233210000299,A2(こども),33(岡山),2(公),1(本),倉敷市立琴浦西認定こども園,岡山県倉敷市児島下の町５－３－１５,7110906,2020-12-22,,33A060,
A233210000306,A2(こども),33(岡山),2(公),1(本),新見市立新見南認定こども園,岡山県新見市正田２７－５,7180013,2020-12-22,,33A061,
A233210000315,A2(こども),33(岡山),2(公),1(本),備前市立吉永認定こども園,岡山県備前市吉永町吉永中４８４－１,7090224,2020-12-22,,33A062,
A233210000324,A2(こども),33(岡山),2(公),1(本),浅口市立六条院こども園,岡山県浅口市鴨方町六条院中２０７２,7190252,2020-12-22,,33A064,
A233210000333,A2(こども),33(岡山),2(公),1(本),岡山市南方岡山中央認定こども園,岡山県岡山市北区南方１－３－３０,7000807,2020-12-22,,33A067,
A233210000342,A2(こども),33(岡山),2(公),1(本),岡山市甲浦認定こども園,岡山県岡山市南区飽浦３２２－１,7028013,2020-12-22,,33A068,
A233210000351,A2(こども),33(岡山),2(公),1(本),岡山市千種認定こども園,岡山県岡山市東区瀬戸町鍛冶屋１７８－１,7090845,2020-12-22,,33A069,
A233210000360,A2(こども),33(岡山),2(公),1(本),岡山市興除認定こども園,岡山県岡山市南区中畦６４５－１１,7010213,2020-12-22,,33A070,
A233210000379,A2(こども),33(岡山),2(公),1(本),岡山市錦認定こども園,岡山県岡山市南区藤田６１０－１１,7010221,2020-12-22,,33A071,
A233210000388,A2(こども),33(岡山),2(公),1(本),備前市立香登認定こども園,岡山県備前市香登本１０５９,7050012,2020-12-22,,33A082,
A233210000397,A2(こども),33(岡山),2(公),1(本),真庭市立北房こども園,岡山県真庭市下呰部２８９番地,7161433,2020-12-22,,33A083,
A233210000404,A2(こども),33(岡山),2(公),1(本),美作市立湯郷こども園,岡山県美作市湯郷６７－１,7070062,2020-12-22,,33A084,
A233210000413,A2(こども),33(岡山),2(公),1(本),吉備中央町立吉備高原こども園,岡山県加賀郡吉備中央町竹部７５２０－２５,7092343,2020-12-22,,33A086,
A233210000422,A2(こども),33(岡山),2(公),1(本),真庭市立久世こども園,岡山県真庭市鍋屋１１１ー１,7193214,2020-12-22,,33A087,
A233210000431,A2(こども),33(岡山),2(公),1(本),岡山市伊島認定こども園,岡山県岡山市北区いずみ町９－１８,7000012,2020-12-22,,33A090,
A233210000440,A2(こども),33(岡山),2(公),1(本),総社市立いじりの認定こども園,岡山県総社市井尻野１７２２,7191154,2020-12-22,,33A098,
A233210000459,A2(こども),33(岡山),2(公),1(本),高梁市立成羽こども園,岡山県高梁市成羽町成羽２２５１－１,7160121,2020-12-22,,33A099,
A233210000468,A2(こども),33(岡山),2(公),1(本),備前市立伊部認定こども園,岡山県備前市伊部１８０８－１,7050001,2020-12-22,,33A100,
A233210000477,A2(こども),33(岡山),2(公),1(本),備前市立東鶴山認定こども園,岡山県備前市佐山２６１６,7050026,2020-12-22,,33A101,
A233210000486,A2(こども),33(岡山),2(公),1(本),岡山市今認定こども園,岡山県岡山市北区今７－１６－４３,7000975,2020-12-22,,33A104,
A233210000495,A2(こども),33(岡山),2(公),1(本),岡山市鹿田認定こども園,岡山県岡山市北区大供表町１６－１０,7000912,2020-12-22,,33A105,
A233210000501,A2(こども),33(岡山),2(公),1(本),岡山市旭竜認定こども園,岡山県岡山市中区高島１－５－７,7038242,2020-12-22,,33A106,
A233210000510,A2(こども),33(岡山),2(公),1(本),岡山市宇野認定こども園,岡山県岡山市中区西川原３５１－１２,7038258,2020-12-22,,33A107,
A233210000529,A2(こども),33(岡山),2(公),1(本),倉敷市立第五福田認定こども園,岡山県倉敷市水島東千鳥町４－２１,7128057,2020-12-22,,33A110,
A233210000538,A2(こども),33(岡山),2(公),1(本),笠岡市立青空認定こども園,岡山県笠岡市カブト南町１８８,7140046,2020-12-22,,33A115,
A233210000547,A2(こども),33(岡山),2(公),1(本),備前市立日生認定こども園,岡山県備前市日生町寒河３８０－３６,7013202,2020-12-22,,33A117,
A233210000556,A2(こども),33(岡山),2(公),1(本),矢掛町立矢掛認定こども園,岡山県小田郡矢掛町矢掛２５４０－１,7141201,2020-12-22,,33A118,
A233210000565,A2(こども),33(岡山),2(公),1(本),岡山市陵南認定こども園,岡山県岡山市北区東花尻２６６－１,7010135,2021-05-27,,33A122,
A233210000574,A2(こども),33(岡山),2(公),1(本),倉敷市立庄認定こども園,岡山県倉敷市上東１０５１－１,7010111,2021-05-27,,33A126,
A233210000583,A2(こども),33(岡山),2(公),1(本),真庭市立米来こども園,岡山県真庭市目木１８０４,7193224,2021-05-27,,33A128,
A233210000592,A2(こども),33(岡山),2(公),1(本),美作市立むさしこども園,岡山県美作市宮本８２－１,7070415,2021-05-27,,33A129,
A233210000609,A2(こども),33(岡山),2(公),1(本),美作市立美作北こども園,岡山県美作市楢原中２７７－１,7070021,2021-05-27,,33A130,
A233210000618,A2(こども),33(岡山),2(公),1(本),岡山市庄内認定こども園,岡山県岡山市北区三手１５－１,7011353,2022-05-01,,,
A233210000627,A2(こども),33(岡山),2(公),1(本),岡山市妹尾認定こども園,岡山県岡山市南区箕島１０２４－２,7010206,2022-05-01,,,
A233210000636,A2(こども),33(岡山),2(公),1(本),笠岡市立ひまわり認定こども園,岡山県笠岡市八番町１－５,7140095,2022-05-01,,,
A233210000645,A2(こども),33(岡山),2(公),1(本),岡山市野谷認定こども園,岡山県岡山市北区栢谷１７２４－３,7011144,2023-05-01,,,
A233210000654,A2(こども),33(岡山),2(公),1(本),倉敷市立田の口認定こども園,岡山県倉敷市児島田の口３－１３－１６,7110903,2023-05-01,,,
A233210000663,A2(こども),33(岡山),2(公),1(本),新見市立哲多認定こども園,岡山県新見市哲多町本郷６７８番地,7180303,2023-05-01,,,
A233210000672,A2(こども),33(岡山),2(公),1(本),岡山市政田開成認定こども園,岡山県岡山市東区政津９６１－１９,7048165,2024-05-01,,,
A233210000681,A2(こども),33(岡山),2(公),1(本),岡山市浦安芳泉認定こども園,岡山県岡山市南区浦安本町５１－３,7028026,2024-05-01,,,
A233210000690,A2(こども),33(岡山),2(公),1(本),倉敷市立まきびの里認定こども園,岡山県倉敷市真備町有井１２７０,7101306,2024-05-01,,,
A233210000707,A2(こども),33(岡山),2(公),1(本),みのり認定こども園,岡山県笠岡市走出４１００－１,7140001,2024-05-01,,,
A233210000716,A2(こども),33(岡山),2(公),1(本),あやめの杜認定こども園,岡山県笠岡市吉田２３７６－１,7140011,2024-05-01,,,
A233210000725,A2(こども),33(岡山),2(公),1(本),にじいろ認定こども園,岡山県笠岡市笠岡３０３１－６,7140081,2024-05-01,,,
A233210000734,A2(こども),33(岡山),2(公),1(本),おひさま認定こども園,岡山県笠岡市用之江２３１８－２,7140066,2024-05-01,,,
A233210000743,A2(こども),33(岡山),2(公),1(本),和気町立本荘にこにこ園,岡山県和気郡和気町衣笠５７０,7090441,2024-05-01,,,
A233210000752,A2(こども),33(岡山),2(公),1(本),和気町立和気にこにこ園,岡山県和気郡和気町藤野４６３,7090412,2024-05-01,,,
A233210000761,A2(こども),33(岡山),2(公),1(本),和気町立佐伯にこにこ園,岡山県和気郡和気町矢田４１８－１,7090511,2024-05-01,,,
A233210000770,A2(こども),33(岡山),2(公),1(本),奈義町立なぎっ子こども園,岡山県勝田郡奈義町豊沢５１４－１,7081323,2024-05-01,,,
A233210000789,A2(こども),33(岡山),2(公),1(本),吉備中央町立豊野こども園,岡山県加賀郡吉備中央町豊野６６－１,7161101,2024-05-01,,,
A233210000798,A2(こども),33(岡山),2(公),1(本),吉備中央町立大和こども園,岡山県加賀郡吉備中央町西２７３－１,7161554,2024-05-01,,,
A233210000805,A2(こども),33(岡山),2(公),1(本),吉備中央町立円城こども園,岡山県加賀郡吉備中央町円城７８８ー１,7092412,2024-05-01,,,
A233210000814,A2(こども),33(岡山),2(公),1(本),備前市立西鶴山認定こども園,岡山県備前市畠田２０－２,7050015,2024-05-01,,,
A233210000823,A2(こども),33(岡山),2(公),2(分),備前市立香登認定こども園大内分園,岡山県備前市大内９４８－５,7050003,2024-05-01,,,
A233210000832,A2(こども),33(岡山),2(公),1(本),岡山市西大寺認定こども園,岡山県岡山市東区西大寺上１丁目１９番２３号,7048112,2025-05-01,,,
A233210000841,A2(こども),33(岡山),2(公),1(本),岡山市あしもり認定こども園,岡山県岡山市北区大井４０７番地１,7011462,2025-05-01,,,
A233210000850,A2(こども),33(岡山),2(公),1(本),美作市立英田こども園,岡山県美作市福本６３６－３,7012604,2025-05-01,,,
A233210000869,A2(こども),33(岡山),2(公),1(本),高梁市立高梁こども園,岡山県高梁市原田北町１２５１－１,7160043,2025-05-01,,,
A233210000878,A2(こども),33(岡山),2(公),1(本),倉敷市立豊洲認定こども園,岡山県倉敷市西田４０４－２,7100027,2025-05-01,,,
A233210000887,A2(こども),33(岡山),2(公),1(本),岡山市幡多認定こども園,岡山県岡山市中区高屋２２０－３,7038233,2026-05-01,,,
A233310000019,A2(こども),33(岡山),3(私),1(本),くらしき作陽大学附属認定こども園,岡山県倉敷市玉島長尾３５２４－５,7100251,2020-12-22,,33A038,
A233310000028,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園小ざくら保育園,岡山県倉敷市水島北幸町２－３,7128062,2020-12-22,,33A042,
A233310000037,A2(こども),33(岡山),3(私),1(本),認定こども園白ゆり,岡山県岡山市北区辛川市場３２１－１,7011214,2020-12-22,,33A047,
A233310000046,A2(こども),33(岡山),3(私),1(本),金光学園こども園,岡山県浅口市金光町大谷４９９－１,7190111,2020-12-22,,33A051,
A233310000055,A2(こども),33(岡山),3(私),1(本),岡北学園,岡山県岡山市北区津島東２－２－２０,7000081,2020-12-22,,33A052,
A233310000064,A2(こども),33(岡山),3(私),1(本),若草幼児舎,岡山県岡山市北区富町２丁目１４番９号,7000031,2020-12-22,,33A053,
A233310000073,A2(こども),33(岡山),3(私),1(本),めぐみ幼保連携型認定こども園,岡山県岡山市東区久保４０８－１,7048102,2020-12-22,,33A054,
A233310000082,A2(こども),33(岡山),3(私),1(本),めぐみ第二幼保連携型認定こども園,岡山県岡山市東区久保４１１－１,7048102,2020-12-22,,33A055,
A233310000091,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園しらゆり幼稚園,岡山県津山市上河原１５３,7080002,2020-12-22,,33A056,
A233310000108,A2(こども),33(岡山),3(私),1(本),御南認定こども園,岡山県岡山市北区今保２４７－１,7010145,2020-12-22,,33A058,
A233310000117,A2(こども),33(岡山),3(私),1(本),こども園城東チャイルドセンター,岡山県岡山市中区長利１９４－１,7038223,2020-12-22,,33A059,
A233310000126,A2(こども),33(岡山),3(私),1(本),いちょうの森こども園,岡山県赤磐市桜が丘東３丁目３－４９６,7090721,2020-12-22,,33A063,
A233310000135,A2(こども),33(岡山),3(私),1(本),浅口はちまん認定こども園,岡山県浅口市鴨方町鴨方１５４０－１,7190243,2020-12-22,,33A065,
A233310000144,A2(こども),33(岡山),3(私),1(本),にこにこふたばこども園,岡山県加賀郡吉備中央町下加茂１８９２,7092331,2020-12-22,,33A066,
A233310000153,A2(こども),33(岡山),3(私),1(本),弘西こども園,岡山県岡山市北区弓之町９番２号,7000817,2020-12-22,,33A072,
A233310000162,A2(こども),33(岡山),3(私),1(本),江西桜こども園,岡山県岡山市東区瀬戸町下２８６番地１,7090856,2020-12-22,,33A073,
A233310000171,A2(こども),33(岡山),3(私),1(本),こじかこども園,岡山県岡山市北区大供本町７１５番地５,7000911,2020-12-22,,33A074,
A233310000180,A2(こども),33(岡山),3(私),1(本),ふたばこども園,岡山県岡山市北区平田１２２番地１０２,7000952,2020-12-22,,33A075,
A233310000199,A2(こども),33(岡山),3(私),1(本),第一吉備こども園,岡山県岡山市北区平野１０７１番地１,7010151,2020-12-22,,33A076,
A233310000206,A2(こども),33(岡山),3(私),1(本),第二吉備こども園,岡山県岡山市北区庭瀬１０３２番地１,7010153,2020-12-22,,33A077,
A233310000215,A2(こども),33(岡山),3(私),1(本),とみやまこども園,岡山県岡山市中区福泊１３８番地２,7038262,2020-12-22,,33A078,
A233310000224,A2(こども),33(岡山),3(私),1(本),かわさきこども園,岡山県倉敷市二子１７７－７,7010115,2020-12-22,,33A079,
A233310000233,A2(こども),33(岡山),3(私),1(本),つばくろ認定こども園,岡山県笠岡市西大島１７５６,7140032,2020-12-22,,33A080,
A233310000242,A2(こども),33(岡山),3(私),1(本),笠岡認定こども園,岡山県笠岡市笠岡３１９０－１,7140081,2020-12-22,,33A081,
A233310000251,A2(こども),33(岡山),3(私),1(本),聖華こども園,岡山県浅口市鴨方六条院中２３４７－１,7190252,2020-12-22,,33A085,
A233310000260,A2(こども),33(岡山),3(私),9(廃),中国学園大学・中国短期大学付属たねのくにこども園,岡山県岡山市北区中撫川３５１,7010163,2020-12-22,2026-05-01,33A088,A233310000885
A233310000279,A2(こども),33(岡山),3(私),1(本),御南まんまるこども園,岡山県岡山市北区田中１６５－１０３,7000951,2020-12-22,,33A089,
A233310000288,A2(こども),33(岡山),3(私),1(本),認定こども園　白ゆりの丘,岡山県岡山市北区富吉２９４５－７,7011133,2020-12-22,,33A091,
A233310000297,A2(こども),33(岡山),3(私),1(本),なのはなこども園,岡山県岡山市中区祇園３６４－１,7038207,2020-12-22,,33A092,
A233310000304,A2(こども),33(岡山),3(私),1(本),旭川こども園,岡山県岡山市中区赤田８８,7038231,2020-12-22,,33A093,
A233310000313,A2(こども),33(岡山),3(私),1(本),柿の木こども園,岡山県岡山市中区沢田４７３,7038234,2020-12-22,,33A094,
A233310000322,A2(こども),33(岡山),3(私),1(本),ゆりかごこども園,岡山県岡山市中区倉田６８８－３,7038265,2020-12-22,,33A095,
A233310000331,A2(こども),33(岡山),3(私),1(本),ちとせ認定こども園,岡山県岡山市東区益野町４０,7048175,2020-12-22,,33A096,
A233310000340,A2(こども),33(岡山),3(私),1(本),カナダこども園,岡山県岡山市東区金田１１２７－１,7048196,2020-12-22,,33A097,
A233310000359,A2(こども),33(岡山),3(私),1(本),長船ちとせこども園,岡山県瀬戸内市長船町土師１２８－１,7014264,2020-12-22,,33A102,
A233310000368,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園めばえ保育園,岡山県倉敷市連島町鶴新田２２３５－３,7128006,2020-12-22,,33A103,
A233310000377,A2(こども),33(岡山),3(私),1(本),高島おひさまこども園,岡山県岡山市中区国府市場１６４－１,7038203,2020-12-22,,33A108,
A233310000386,A2(こども),33(岡山),3(私),1(本),グリーン長利こども園,岡山県岡山市中区長利２７４－１,7038223,2020-12-22,,33A109,
A233310000395,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園遍照こども園,岡山県倉敷市西阿知町４６５－１,7100807,2020-12-22,,33A111,
A233310000402,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園真備かなりや保育園,岡山県倉敷市真備町辻田２６８－１,7101312,2020-12-22,,33A112,
A233310000411,A2(こども),33(岡山),3(私),1(本),すぎのこ認定こども園,岡山県倉敷市徳芳５０４,7100011,2020-12-22,,33A113,
A233310000420,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園たから保育園,岡山県倉敷市船穂町船穂３３４５,7100261,2020-12-22,,33A114,
A233310000439,A2(こども),33(岡山),3(私),1(本),和光みらい園,岡山県笠岡市富岡２７７－５,7140092,2020-12-22,,33A116,
A233310000448,A2(こども),33(岡山),3(私),1(本),第三吉備こども園,岡山県岡山市北区東花尻１２１－１,7010135,2021-05-27,,33A119,
A233310000457,A2(こども),33(岡山),3(私),1(本),ポエムこども園ひらつ,岡山県岡山市北区楢津３８５－１,7011202,2021-05-27,,33A120,
A233310000466,A2(こども),33(岡山),3(私),1(本),おおふくこども園,岡山県岡山市南区大福７６０－２,7010204,2021-05-27,,33A121,
A233310000475,A2(こども),33(岡山),3(私),1(本),古都こども園,岡山県岡山市東区古都宿４５３－５,7038212,2021-05-27,,33A123,
A233310000484,A2(こども),33(岡山),3(私),1(本),原尾島こども園,岡山県岡山市中区原尾島１－７－５,7038235,2021-05-27,,33A124,
A233310000493,A2(こども),33(岡山),3(私),1(本),浮田とちのみこども園,岡山県岡山市東区沼１１８８,7090621,2021-05-27,,33A125,
A233310000509,A2(こども),33(岡山),3(私),1(本),よしうら認定こども園,岡山県倉敷市玉島１８９８－３,7138102,2021-05-27,,33A127,
A233310000518,A2(こども),33(岡山),3(私),1(本),さくらこども園,岡山県岡山市北区横井上１５５６－４,7011145,2022-05-01,,,
A233310000527,A2(こども),33(岡山),3(私),1(本),第二さくらこども園,岡山県岡山市北区富原３７００－１,7011153,2022-05-01,,,
A233310000536,A2(こども),33(岡山),3(私),1(本),金浦認定こども園,岡山県笠岡市金浦１５６５,7140057,2022-05-01,,,
A233310000545,A2(こども),33(岡山),3(私),1(本),太陽の森認定こども園,岡山県笠岡市生江浜１０７９－５,7140055,2022-05-01,,,
A233310000554,A2(こども),33(岡山),3(私),1(本),まやこども園,岡山県笠岡市笠岡２７８６－２,7140081,2022-05-01,,,
A233310000563,A2(こども),33(岡山),3(私),1(本),あすなろこども園,岡山県赤磐市桜が丘西３丁目１４－１９,7090802,2022-05-01,,,
A233310000572,A2(こども),33(岡山),3(私),1(本),八幡認定こども園,岡山県倉敷市玉島柏島５６０４－１,7138123,2022-05-01,,,
A233310000582,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園妹尾保育園,岡山県岡山市南区妹尾１３６８－１,7010205,2023-05-01,,,
A233310000591,A2(こども),33(岡山),3(私),1(本),幼保連携型認定こども園連島こども園,岡山県倉敷市連島中央５－１－３６,7128014,2023-05-01,,,
